## Carbon
#CO         Photon                 CO+        e-                                            2.140e-05  0.000e+00  3.464e+03 0.00e+00 0.00e+00 unif  4     10    300  3     3 1  2 
#CO         Photon                 C          O                                             5.810e-07  0.000e+00  3.464e+03 0.00e+00 0.00e+00 unif  4     10    300  3     3 1  2 
#C2         Photon                 C+         C          e-                                 9.460e-07  0.000e+00  3.464e+03 0.00e+00 0.00e+00 unif  4     10    300  3     3 1  2 
#C2         Photon                 C2+        C                                             2.140e-05  0.000e+00  3.464e+03 0.00e+00 0.00e+00 unif  4     10    300  3     3 1  2 
#C2         Photon                 C          C                                             5.810e-06  0.000e+00  3.464e+03 0.00e+00 0.00e+00 unif  4     10    300  3     3 1  2 
#Si         Photon                 Si+        e-                                            1.570e-05  0.000e+00  3.464e+03 2.00e+00 0.00e+00 logn  3  -9999   9999  2     3 1  2
#SiO        Photon                 Si         O+         e-                                 1.070e-07  0.000e+00  3.464e+03 2.00e+00 0.00e+00 logn  3  -9999   9999  2     3 1  2
#SiO        Photon                 Si+        O          e-                                 3.330e-06  0.000e+00  3.464e+03 2.00e+00 0.00e+00 logn  3  -9999   9999  2     3 1  2
#SiO        Photon                 Si         O                                             6.580e-06  0.000e+00  3.464e+03 2.00e+00 0.00e+00 logn  3  -9999   9999  2     3 1  2
## Recombination And Charge Exchange
#C+         e-                     C                                                        4.670e-12 -0.600e+00  0.000e+00 0.00e+00 0.00e+00 unif  4     10    100  3     5 1  1
#C2+        e-                     C          C                                             3.000e-07 -0.500e+00  0.000e+00 0.00e+00 0.00e+00 unif  4     10    100  3     5 1  1
#CO+        e-                     C          O                                             2.000e-07 -0.500e+00  0.000e+00 0.00e+00 0.00e+00 unif  4     10    100  3     5 1  1
#O+         e-                     O                                                        3.240e-12 -0.700e+00  0.000e+00 0.00e+00 0.00e+00 unif  4     10    100  3     5 1  1
#Si+        e-                     Si                                                       4.900e-12 -0.600e+00  0.000e+00                                          3
#SiC+       e-                     C          Si                                            2.000e-07 -5.000e-01  0.000e+00 2.00e+00 0.00e+00 logn  8     10    280  3   128 1  1
#O          CO+                    O+         CO                                            1.400e-10  0.000e+00  0.000e+00                                          3
#C          CO+                    C+         CO                                            1.100e-10  0.000e+00  0.000e+00                                          3
#C          C2+                    C+         C2                                            1.100e-10  0.000e+00  0.000e+00                                          3
#C2         O+                     C2+        O                                             4.800e-10  0.000e+00  0.000e+00                                          3
#CO         O+                     CO+        O                                             4.900e-12  0.500e+00  4.580e+03                                          3
#SiC        C+                     C          SiC+                                          5.000e-01  2.020e-09  2.100e+00 2.00e+00 0.00e+00 logn  5     10    329  4   101 1  1
## Thermal Disruption
#CO         Photon                 C          O                                             2.380E+11  0.000E+00  1.380E+05                                          3
#C2         Photon                 C          C                                             2.380E+11  0.000E+00  1.380E+05                                          3
